source_id,level,nuts_primary,title,status,open_date,deadline,budget_total_eur,publishing_authority,details_url,mrr
897235,ccaa,ES42,"Resolución, de la Dirección General de Producción Agroalimentaria y Cooperativas, por la que se convocan, en régimen de minimis, ayudas en especie para la participación agrupada en el stand que contratará la Consejería de Agricultura, Ganadería y Desarrol",open,2026-04-14,2026-05-12,141177.96,AUTONOMICA / CASTILLA-LA MANCHA / DIRECCIÓN GENERAL PRODUCCIÓN AGROALIMENTARIA Y COOPERATIVAS,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897235,false
897239,local,,"V OPEN CALL FOR STARTUPS, SALÓN INMOBILIARIO DEL MEDITERRÁNEO, SIMED 2026",open,2026-05-05,2026-08-31,2000,"LOCAL / MÁLAGA / EMPRESA MUNICIPAL DE INICIATIVAS Y ACTIVIDADES EMPRESARIALES DE MÁLAGA, S.A.",https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897239,false
897241,otros,ES412,Convocatoria Programa Xpande 2026-Cámara Burgos,open,2026-04-24,2026-05-18,42800,OTROS / CÁMARA DE COMERCIO DE BURGOS,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897241,false
897251,local,ES521,"CONVOCATORIA 2026 DE SUBVENCIONES A ASOCIACIONES Y ENTIDADES SIN ÁNIMO DE LUCRO DE PETRER, PARA EL FOMENTO DE PROYECTOS Y ACTIVIDADES CULTURALES",open,2026-04-10,2026-05-11,15000,LOCAL / PETRER / AYUNTAMIENTO DE PETRER,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897251,false
897253,local,ES522,Acuerdo del 1 de abril de 2026 de la Junta de Gobierno Local por la que se convocan subvenciones en materia de drogodependencias en el año 2026,open,,,117900,LOCAL / CASTELLÓN DE LA PLANA/CASTELLÓ DE LA PLANA / AYUNTAMIENTO DE CASTELLÓN DE LA PLANA/CASTELLÓ DE LA PLANA,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897253,false
897256,otros,ES412,Convocatoria programa Xpande Digital 2026-Cámara Burgos,open,2026-04-24,2026-05-18,16050,OTROS / CÁMARA DE COMERCIO DE BURGOS,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897256,false
897258,ccaa,ES41,"Orden de 7 de abril de 2026, de la Consejería de Industria, Comercio y Empleo, por la que se convocan subvenciones dirigidas a empresas con trabajadores afectados por expedientes de regulación de empleo ( inundaciones)",open,2026-04-10,2026-10-20,100000,"AUTONOMICA / CASTILLA Y LEÓN / CONSEJERÍA DE INDUSTRIA, COMERCIO Y EMPLEO",https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897258,false
897261,local,ES30,"CONVOCATORIA DE SUBVENCIONES DIRIGIDAS A ASOCIACIONES Y/O ENTIDADES SOCIALES SIN ÁNIMO DE LUCRO DEL MUNICIPIO DE GETAFE PARA LA REALIZACIÓN DE ACTIVIDADES EN EL ÁMBITO DE LA SALUD, LAS DROGODEPENDENCIAS Y OTRAS ADICCIONES, EJERCICIO 2026",open,,,66400,LOCAL / GETAFE / AYUNTAMIENTO DE GETAFE,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897261,false
897265,local,ES521,Subvenciones Asociaciones Juveniles 2026,open,,,2400,"LOCAL / CAMPELLO, EL / AYUNTAMIENTO DE CAMPELLO, EL",https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897265,false
897266,local,ES421,"CONVOCATORIA  PROYECTO ARTÍSTICO  IV EDICIÓN ""ARTE EN LA CALLE 2026""",open,,2026-05-08,2000,LOCAL / ALBACETE / AYUNTAMIENTO DE ALBACETE,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897266,false
897271,local,ES613,Convocatoria de Subvenciones al Fomento del Deporte 2026 - Línea 1 Participación de Entidades Deportivas en Competiciones Oficiales Federadas,open,,,270000,LOCAL / CÓRDOBA / INSTITUTO MUNICIPAL DE DEPORTES DE CÓRDOBA (IMDECO),https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897271,false
897273,local,ES513,"Convocatòria i bases per a la concessió de subvencions a les entitats de la demarcació de Lleida en l`àmbit de la promoció de les polítiques d`igualtat d`oportunitats, la incorporació perspectiva de gènere i drets de no discriminació per LGTBI 2025-2026",open,,,450000,LOCAL / DIPUTACIÓN PROV. DE LLEIDA / DIPUTACIÓN PROVINCIAL DE LLEIDA,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897273,false
897274,local,ES513,"Convocatòria i bases per a la concessió de subvencions als Ajuntaments de la demarcació de Lleida en l¿àmbit de la promoció de les polítiques d¿igualtat d¿oportunitats, la incorporació perspectiva de gènere i drets de no discriminació per LGTBI 2025-2026",open,,,600000,LOCAL / DIPUTACIÓN PROV. DE LLEIDA / DIPUTACIÓN PROVINCIAL DE LLEIDA,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897274,false
897275,local,ES523,Convocatoria Programación Cultural (SARC als pobles) 2026,open,,,3526000,LOCAL / DIPUTACIÓN PROV. DE VALENCIA / DIPUTACIÓN PROVINCIAL DE VALENCIA,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897275,false
897276,local,ES521,"CONVOCATORIA 2026 DE SUBVENCIONES DESTINADAS A SUFRAGAR GASTOS DE ACTIVIDADES Y/O PERSONAL A ASOCIACIONES Y ENTIDADES PRIVADAS SIN FINES DE LUCRO, QUE ACTÚEN EN LOS SECTORES DE LA ATENCIÓN PRIMARIA DE LOS SERVICIOS SOCIALES DE PETRER",open,2026-04-10,2026-05-11,60500,LOCAL / PETRER / AYUNTAMIENTO DE PETRER,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897276,false
897278,local,ES613,Convocatoria de Subvenciones al Fomento del Deporte 2026 - Línea 2 Participación de Deportistas en Competiciones Oficiales Federadas,open,,,20000,LOCAL / CÓRDOBA / INSTITUTO MUNICIPAL DE DEPORTES DE CÓRDOBA (IMDECO),https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897278,false
897282,local,ES613,Convocatoria de Subvenciones al Fomento del Deporte 2026 - Línea 3 Carreras Populares,open,,,55000,LOCAL / CÓRDOBA / INSTITUTO MUNICIPAL DE DEPORTES DE CÓRDOBA (IMDECO),https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897282,false
897284,ccaa,ES42,"Orden de 7 de abril de 2026, por la que se regulan las bases la concesión de subvenciones para la puesta en marcha del Programa de Apoyo Activo al Empleo y se efectúa la convocatoria de 2026. Reg. UE 717",open,,,42000,AUTONOMICA / CASTILLA-LA MANCHA / DIRECCIÓN GENERAL DE EMPLEO,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897284,false
897285,local,ES421,Convocatoria del XXXVII Concurso de Música Moderna Memorial Alberto Cano,open,,2026-05-11,8250,LOCAL / ALBACETE / AYUNTAMIENTO DE ALBACETE,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897285,false
897289,local,ES613,Convocatoria de Subvenciones al Fomento del Deporte 2026 - Línea 4 Escuelas Deportivas,open,,,306000,LOCAL / CÓRDOBA / INSTITUTO MUNICIPAL DE DEPORTES DE CÓRDOBA (IMDECO),https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897289,false
897291,local,ES613,Convocatoria de Subvenciones al Fomento del Deporte 2026 - Línea 5 Eventos Deportivos,open,,,72000,LOCAL / CÓRDOBA / INSTITUTO MUNICIPAL DE DEPORTES DE CÓRDOBA (IMDECO),https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897291,false
897292,local,ES523,CONVOCATORIA DE BECAS INDIVIDUALES PARA DEPORTISTAS DE ALFAFAR - EJERCICIO 2026.,open,,,10000,LOCAL / ALFAFAR / AYUNTAMIENTO DE ALFAFAR,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897292,false
897293,local,ES613,Convocatoria de Subvenciones al Fomento del Deporte 2026 - Línea 6 Participación de Equipos en Competiciones Nacionales,open,,,110000,LOCAL / CÓRDOBA / INSTITUTO MUNICIPAL DE DEPORTES DE CÓRDOBA (IMDECO),https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897293,false
897298,ccaa,ES42,"Orden de 7 de abril de 2026, por la que se regulan las bases la concesión de subvenciones para la puesta en marcha del Programa de Apoyo Activo al Empleo y se efectúa la convocatoria de 2026. Reg. UE 1408",open,,,42000,AUTONOMICA / CASTILLA-LA MANCHA / DIRECCIÓN GENERAL DE EMPLEO,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897298,false
897302,estado,,Subvenciones Asociaciones de Personas Consumidoras y Usuarias 2026,open,,,3047530,"ESTADO / MINISTERIO DE DERECHOS SOCIALES, CONSUMO Y AGENDA 2030 / DIRECCIÓN GENERAL DE CONSUMO",https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897302,false
897303,local,ES12,"Convocatoria para la concesión de ayudas individuales para la adquisición de la tarjeta bono-taxi, en el marco de la subvención contra la soledad no deseada, durante el ejercicio 2026",open,,,11000,LOCAL / CANGAS DEL NARCEA / AYUNTAMIENTO DE CANGAS DEL NARCEA,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897303,false
897304,ccaa,ES42,"Orden de 7 de abril de 2026, por la que se regulan las bases la concesión de subvenciones para la puesta en marcha del Programa de Apoyo Activo al Empleo y se efectúa la convocatoria de 2026. Reg. UE 2832",open,,,42000,AUTONOMICA / CASTILLA-LA MANCHA / DIRECCIÓN GENERAL DE EMPLEO,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897304,false
897307,ccaa,ES42,"Orden de 7 de abril de 2026, por la que se regulan las bases la concesión de subvenciones para la puesta en marcha del Programa de Apoyo Activo al Empleo y se efectúa la convocatoria de 2026. Reg. UE 2831",open,,,874000,AUTONOMICA / CASTILLA-LA MANCHA / DIRECCIÓN GENERAL DE EMPLEO,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897307,false
897310,local,ES300,Decreto de la Concejala Presidenta del Distrito de Arganzuela por el que se aprueban las bases que regirán la Convocatoria Premios Arganzuela 2026 - VII Edición Certamen Literario “Benito Pérez Galdós”.,open,2026-04-27,2026-05-29,7500,LOCAL / MADRID / DISTRITO DE ARGANZUELA,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897310,false
897314,ccaa,ES22,Subvención a centros de formación profesional o entidades de formación privadas acreditadas para impartir formación presencial de certificados profesionales a menores migrantes tutelados/as,open,2026-04-14,,370001,AUTONOMICA / COMUNIDAD FORAL DE NAVARRA / DEPARTAMENTO DE EDUCACION,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897314,false
897316,local,ES30,CONVOCATORIA DE SUBVENCIONES ENTIDADES SOCIALES SIN ANIMO DE LUCRO PARA LA PROMOCIÓN DE LA IGUALDAD ENTRE MUJERES Y HOMBRES,open,,,45000,LOCAL / GETAFE / AYUNTAMIENTO DE GETAFE,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897316,false
897321,ccaa,ES13,"Resolución del consejero de Cultura, Turismo y Deporte, por la que se aprueba la
convocatoria de subvenciones, en régimen de concurrencia competitiva, a galerías
de arte para la presencia en ferias fuera de Cantabria durante el año 2026.",open,,,220000,"AUTONOMICA / CANTABRIA / CONSEJERÍA DE CULTURA, TURISMO Y DEPORTE",https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897321,false
897322,local,ES521,Acuerdo de 1 de abril de 2026 del Pleno de la Excma. Diputación Provincial de Alicante por el que se convocan subvenciones en 2026 para la realización de infraestructuras hidráulicas a ejecutar por Diputación.,open,,2026-05-15,1000000,LOCAL / DIPUTACIÓN PROV. DE ALICANTE / DIPUTACIÓN PROVINCIAL DE ALACANT/ALICANTE,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897322,false
897329,local,ES611,"Acuerdo de 06 de abril de 2026 de la Junta de Gobierno Local del Ayuntamiento de Almería, de aprobación de la convocatoria de la Campaña de Bonos al Consumo 2026, por importe total de 200.000,00 €",open,2026-04-14,,200000,LOCAL / ALMERÍA / AYUNTAMIENTO DE ALMERÍA,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897329,false
897330,estado,,"Resolución de 7 de abril de 2026 de la Secretaría de Estado de Ciencia, Innovación y Universidades por la que se convocan ayudas para el desarrollo de la X edición del programa “Campus Inclusivos, Campus sin Límites”",open,,,80000,"ESTADO / MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES / SECRETARÍA GENERAL DE UNIVERSIDADES",https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897330,false
897331,ccaa,ES42,"Orden de 7 de abril de 2026, por la que se regulan las bases la concesión de subvenciones para la puesta en marcha del Programa de Apoyo Activo al Empleo y se efectúa la convocatoria de 2026. No mínimis",open,,,53718459.97,AUTONOMICA / CASTILLA-LA MANCHA / DIRECCIÓN GENERAL DE EMPLEO,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897331,false
897332,local,ES23,Bases de la convocatoria de subvenciones en régimen de concurrencia competitiva para actividades culturales del año 2026.,open,,,19000,LOCAL / CALAHORRA / AYUNTAMIENTO DE CALAHORRA,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897332,false
897355,ccaa,ES21,Programa de ayudas digitalización cadena alim. y madera 2025,open,2025-09-18,2026-12-31,734022.67,"AUTONOMICA / PAÍS VASCO / DEPARTAMENTO DE ALIMENTACIÓN, DESARROLLO RURAL, AGRICULTURA Y PESCA",https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897355,false
897356,ccaa,ES21,CONVOCATORIA CONTRATACIÓN MUJERES Y HOMBRES SECTORES MASC.Y FEMIN.,open,,,600000,AUTONOMICA / PAÍS VASCO / LANBIDE-SERVICIO VASCO DE EMPLEO,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897356,false
897360,local,ES709,"CONVOCATORIA PÚBLICA DE CONCESIÓN DE SUBVENCIONES EN APOYO AL COMERCIO DEL MUNICIPIO DE EL SAUZAL, PARA EL EJERCICIO ECONÓMICO 2026",open,,,250000,"LOCAL / SAUZAL, EL / AYUNTAMIENTO DE SAUZAL, EL",https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897360,false
897361,local,ES512,Convenio de subvención para la organización de actividades inclusivas durante el año 2026,open,2026-01-01,2026-12-31,15000,LOCAL / PALAMÓS / AYUNTAMIENTO DE PALAMÓS,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897361,false
897362,ccaa,ES70,SUBVENCIONES PARA EL FOMENTO ADQUISICIÓN VIVIENDA POR PARTE DE LAS PERSONAS JÓVENES CANARIAS 2026,open,,,3000000,AUTONOMICA / CANARIAS / INSTITUTO CANARIO DE LA VIVIENDA,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897362,false
897388,local,ES512,"CONVENIO DE COLABORACIÓN CON LA ASOCIACIÓN CATALANA DE ESPECIALISTAS EN DROGODEPENDENCIAS Y OTRAS ADICCIONES (ACEDA), PARA REALIZAR LA ATENCIÓN DIRECTA Y EL PROGRAMA DE ACTIVIDADES DE PREVENCIÓN Y REDUCCIÓN DE RIESGOS EN JÓVENES",open,2026-01-01,2026-12-31,14500,LOCAL / PALAMÓS / AYUNTAMIENTO DE PALAMÓS,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897388,false
