identifier,programme,status,opening,deadline,deadline_model,budget_total_eur,action_type,topic_url
HORIZON-CL5-2027-01-D1-07,Horizon Europe,forthcoming,2026-11-17,2027-03-04,single-stage,123000000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2027-01-D1-07
HORIZON-CL5-2027-04-Two-Stage-D5-09,Horizon Europe,forthcoming,2026-12-15,2027-04-14,two-stage,53000000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2027-04-Two-Stage-D5-09
HORIZON-CL5-2027-07-D3-16,Horizon Europe,forthcoming,2027-08-04,2027-12-01,single-stage,179000000,HORIZON Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2027-07-D3-16
HORIZON-CL4-2027-01-MAT-PROD-62,Horizon Europe,forthcoming,2026-09-22,2027-02-02,single-stage,35000000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL4-2027-01-MAT-PROD-62
HORIZON-CL4-2027-01-MAT-PROD-17,Horizon Europe,forthcoming,2026-09-22,2027-02-02,single-stage,224000000,HORIZON Coordination and Support Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL4-2027-01-MAT-PROD-17
HORIZON-EIE-2027-01-CONNECT-03,Horizon Europe,forthcoming,2027-06-01,2027-09-15,single-stage,34000000,HORIZON Coordination and Support Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-EIE-2027-01-CONNECT-03
HORIZON-EIE-2027-01-CONNECT-01,Horizon Europe,forthcoming,2027-06-01,2027-09-15,single-stage,34000000,HORIZON Coordination and Support Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-EIE-2027-01-CONNECT-01
HORIZON-CL4-2027-01-MAT-PROD-42,Horizon Europe,forthcoming,2026-09-22,2027-02-02,single-stage,224000000,HORIZON Coordination and Support Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL4-2027-01-MAT-PROD-42
HORIZON-CL4-2027-01-MAT-PROD-08,Horizon Europe,forthcoming,2026-09-22,2027-02-02,single-stage,224000000,HORIZON Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL4-2027-01-MAT-PROD-08
HORIZON-CL5-2026-11-D3-06,Horizon Europe,forthcoming,2026-08-04,2026-12-01,single-stage,131500000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2026-11-D3-06
HORIZON-CL5-2027-02-D3-15,Horizon Europe,forthcoming,2026-12-03,2027-03-31,single-stage,227600000,HORIZON Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2027-02-D3-15
HORIZON-CL5-2026-11-D3-14,Horizon Europe,forthcoming,2026-08-04,2026-12-01,single-stage,131500000,HORIZON Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2026-11-D3-14
HORIZON-CL5-2027-07-D3-25,Horizon Europe,forthcoming,2027-08-04,2027-12-01,single-stage,179000000,HORIZON Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2027-07-D3-25
HORIZON-CL5-2027-07-D3-17,Horizon Europe,forthcoming,2027-08-04,2027-12-01,single-stage,179000000,HORIZON Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2027-07-D3-17
HORIZON-CL5-2027-01-D1-13,Horizon Europe,forthcoming,2026-11-17,2027-03-04,single-stage,123000000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2027-01-D1-13
HORIZON-HLTH-2027-03-TOOL-02,Horizon Europe,forthcoming,2027-06-03,2027-09-22,single-stage,81500000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-HLTH-2027-03-TOOL-02
HORIZON-CL5-2027-01-D1-12,Horizon Europe,forthcoming,2026-11-17,2027-03-04,single-stage,123000000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2027-01-D1-12
HORIZON-CL5-2027-01-D1-09,Horizon Europe,forthcoming,2026-11-17,2027-03-04,single-stage,123000000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2027-01-D1-09
HORIZON-HLTH-2027-03-TOOL-04,Horizon Europe,forthcoming,2027-06-03,2027-09-22,single-stage,81500000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-HLTH-2027-03-TOOL-04
HORIZON-CL2-2026-01-HERITAGE-03,Horizon Europe,forthcoming,2026-05-12,2026-09-23,single-stage,298500000,HORIZON Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL2-2026-01-HERITAGE-03
HORIZON-CL2-2026-01-DEMOCRACY-08,Horizon Europe,forthcoming,2026-05-12,2026-09-23,single-stage,298500000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL2-2026-01-DEMOCRACY-08
HORIZON-CL2-2026-01-DEMOCRACY-04,Horizon Europe,forthcoming,2026-05-12,2026-09-23,single-stage,298500000,HORIZON Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL2-2026-01-DEMOCRACY-04
HORIZON-CL2-2026-01-TRANSFO-06,Horizon Europe,forthcoming,2026-05-12,2026-09-23,single-stage,298500000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL2-2026-01-TRANSFO-06
HORIZON-CL2-2026-01-TRANSFO-09,Horizon Europe,forthcoming,2026-05-12,2026-09-23,single-stage,298500000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL2-2026-01-TRANSFO-09
HORIZON-CL2-2026-01-TRANSFO-07,Horizon Europe,forthcoming,2026-05-12,2026-09-23,single-stage,298500000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL2-2026-01-TRANSFO-07
RENEWFM-2026-INVEST-TECH-SPEC,RENEWFM,open,2026-03-03,2026-09-01,single-stage,54900000,RENEWFM Lump Sum Grants,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/RENEWFM-2026-INVEST-TECH-SPEC
SMP-CONS-2026-ADR-RAD,Single Market Programme,open,2026-02-24,2026-05-21,single-stage,1500000,SMP Project Grants,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/SMP-CONS-2026-ADR-RAD
HORIZON-CL2-2026-01-HERITAGE-07,Horizon Europe,forthcoming,2026-05-12,2026-09-23,single-stage,298500000,HORIZON Coordination and Support Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL2-2026-01-HERITAGE-07
HORIZON-CL2-2026-01-TRANSFO-02,Horizon Europe,forthcoming,2026-05-12,2026-09-23,single-stage,298500000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL2-2026-01-TRANSFO-02
HORIZON-CL2-2026-01-TRANSFO-08,Horizon Europe,forthcoming,2026-05-12,2026-09-23,single-stage,298500000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL2-2026-01-TRANSFO-08
HORIZON-CL2-2026-01-HERITAGE-02,Horizon Europe,forthcoming,2026-05-12,2026-09-23,single-stage,298500000,HORIZON Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL2-2026-01-HERITAGE-02
HORIZON-CL2-2026-01-HERITAGE-04,Horizon Europe,forthcoming,2026-05-12,2026-09-23,single-stage,298500000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL2-2026-01-HERITAGE-04
HORIZON-CL2-2026-01-TRANSFO-10,Horizon Europe,forthcoming,2026-05-12,2026-09-23,single-stage,298500000,HORIZON Coordination and Support Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL2-2026-01-TRANSFO-10
HORIZON-CL2-2026-01-DEMOCRACY-07,Horizon Europe,forthcoming,2026-05-12,2026-09-23,single-stage,298500000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL2-2026-01-DEMOCRACY-07
HORIZON-CL2-2026-01-DEMOCRACY-01,Horizon Europe,forthcoming,2026-05-12,2026-09-23,single-stage,298500000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL2-2026-01-DEMOCRACY-01
CREA-MEDIA-2026-CINNET,Creative Europe,open,2026-04-07,2026-07-09,single-stage,17467470,CREA Project Grants,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CREA-MEDIA-2026-CINNET
ERC-2026-POC,ERC,open,2026-01-20,2026-03-17,multiple cut-off,60000000,HORIZON ERC Proof of Concept Grants,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/ERC-2026-POC
HORIZON-CL2-2026-01-HERITAGE-06,Horizon Europe,forthcoming,2026-05-12,2026-09-23,single-stage,298500000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL2-2026-01-HERITAGE-06
HORIZON-CL2-2026-02-TRANSFO-01,Horizon Europe,forthcoming,2026-05-12,2026-10-13,single-stage,60000000,HORIZON Programme Cofund Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL2-2026-02-TRANSFO-01
UCPM-2026-KAPP-PVPP,UCPM,open,2026-02-18,2026-05-19,single-stage,10600000,UCPM Project Grants,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/UCPM-2026-KAPP-PVPP
HORIZON-CL4-2026-SPACE-03-86,Horizon Europe,open,2026-03-10,2026-09-03,single-stage,90970000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL4-2026-SPACE-03-86
HORIZON-CL2-2027-01-TRANSFO-07,Horizon Europe,forthcoming,2027-05-13,2027-09-23,single-stage,277000000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL2-2027-01-TRANSFO-07
HORIZON-NEB-2027-02-NEB-SOIL-01,Horizon Europe,forthcoming,2027-05-05,2027-09-15,single-stage,15000000,HORIZON Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-NEB-2027-02-NEB-SOIL-01
HORIZON-CL4-2026-SPACE-03-31,Horizon Europe,open,2026-03-10,2026-09-03,single-stage,90970000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL4-2026-SPACE-03-31
HORIZON-CL4-2027-SPACE-03-83,Horizon Europe,forthcoming,2027-03-09,2027-09-02,single-stage,66160000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL4-2027-SPACE-03-83
HORIZON-CL4-2027-SPACE-03-71,Horizon Europe,forthcoming,2027-03-09,2027-09-02,single-stage,66160000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL4-2027-SPACE-03-71
HORIZON-CL4-2027-SPACE-03-33,Horizon Europe,forthcoming,2027-03-09,2027-09-02,single-stage,66160000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL4-2027-SPACE-03-33
HORIZON-CL2-2027-01-TRANSFO-04,Horizon Europe,forthcoming,2027-05-13,2027-09-23,single-stage,277000000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL2-2027-01-TRANSFO-04
HORIZON-CL2-2027-01-DEMOCRACY-06,Horizon Europe,forthcoming,2027-05-13,2027-09-23,single-stage,277000000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL2-2027-01-DEMOCRACY-06
HORIZON-CL2-2027-01-TRANSFO-01,Horizon Europe,forthcoming,2027-05-13,2027-09-23,single-stage,277000000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL2-2027-01-TRANSFO-01
HORIZON-CL2-2027-01-DEMOCRACY-03,Horizon Europe,forthcoming,2027-05-13,2027-09-23,single-stage,277000000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL2-2027-01-DEMOCRACY-03
HORIZON-CL2-2027-01-HERITAGE-08,Horizon Europe,forthcoming,2027-05-13,2027-09-23,single-stage,277000000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL2-2027-01-HERITAGE-08
HORIZON-CL2-2027-01-DEMOCRACY-07,Horizon Europe,forthcoming,2027-05-13,2027-09-23,single-stage,277000000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL2-2027-01-DEMOCRACY-07
HORIZON-EIE-2026-03-CONNECT-01,Horizon Europe,forthcoming,2026-06-09,2026-09-22,single-stage,5000000,HORIZON Coordination and Support Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-EIE-2026-03-CONNECT-01
CERV-2026-DATA,CERV,open,2026-02-26,2026-05-28,single-stage,2300000,CERV Lump Sum Grants,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CERV-2026-DATA
EDF-2026-LS-DA-SME-NT,European Defence Fund,open,2026-02-11,2026-09-29,single-stage,30000000,EDF Lump Sum Grants,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/EDF-2026-LS-DA-SME-NT
HORIZON-MSCA-2027-DN-01-01,Horizon Europe,forthcoming,2027-05-26,2027-11-23,single-stage,1723848822,HORIZON TMA MSCA Doctoral NetworksHORIZON TMA MSCA Doctoral Networks - Joint DoctoratesHORIZON TMA MSCA Doctoral Networks - Industrial Doctorates,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-MSCA-2027-DN-01-01
UCPM-2026-KAPP-EX,UCPM,open,2026-02-03,2026-05-19,single-stage,4500000,UCPM Project Grants,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/UCPM-2026-KAPP-EX
HORIZON-CL2-2027-01-HERITAGE-01,Horizon Europe,forthcoming,2027-05-13,2027-09-23,single-stage,277000000,HORIZON Coordination and Support Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL2-2027-01-HERITAGE-01
HORIZON-CL2-2027-01-HERITAGE-06,Horizon Europe,forthcoming,2027-05-13,2027-09-23,single-stage,277000000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL2-2027-01-HERITAGE-06
HORIZON-CL4-2027-SPACE-03-34,Horizon Europe,forthcoming,2027-03-09,2027-09-02,single-stage,66160000,HORIZON Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL4-2027-SPACE-03-34
HORIZON-CL4-2027-SPACE-03-21,Horizon Europe,forthcoming,2027-03-09,2027-09-02,single-stage,66160000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL4-2027-SPACE-03-21
HORIZON-CL4-2026-SPACE-03-61,Horizon Europe,open,2026-03-10,2026-09-03,single-stage,90970000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL4-2026-SPACE-03-61
HORIZON-CL4-2026-SPACE-03-11,Horizon Europe,open,2026-03-10,2026-09-03,single-stage,90970000,HORIZON Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL4-2026-SPACE-03-11
HORIZON-CL2-2027-01-HERITAGE-02,Horizon Europe,forthcoming,2027-05-13,2027-09-23,single-stage,277000000,HORIZON Coordination and Support Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL2-2027-01-HERITAGE-02
HORIZON-NEB-2027-01-PARTICIPATION-02,Horizon Europe,forthcoming,2027-05-05,2027-12-01,single-stage,93760000,HORIZON Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-NEB-2027-01-PARTICIPATION-02
HORIZON-CL4-2027-SPACE-03-12,Horizon Europe,forthcoming,2027-03-09,2027-09-02,single-stage,66160000,HORIZON Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL4-2027-SPACE-03-12
HORIZON-CL2-2027-01-TRANSFO-08,Horizon Europe,forthcoming,2027-05-13,2027-09-23,single-stage,277000000,HORIZON Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL2-2027-01-TRANSFO-08
HORIZON-CL2-2027-01-DEMOCRACY-05,Horizon Europe,forthcoming,2027-05-13,2027-09-23,single-stage,277000000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL2-2027-01-DEMOCRACY-05
HORIZON-CL2-2027-01-DEMOCRACY-08,Horizon Europe,forthcoming,2027-05-13,2027-09-23,single-stage,277000000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL2-2027-01-DEMOCRACY-08
HORIZON-JU-CHIPS-2025-IA-LEAI-two-stage,Horizon Europe,forthcoming,2025-03-04,2025-04-29,two-stage,20000000,HORIZON JU Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/data/topicDetails/HORIZON-JU-CHIPS-2025-IA-LEAI-two-stage.json
HORIZON-CL2-2027-01-HERITAGE-07,Horizon Europe,forthcoming,2027-05-13,2027-09-23,single-stage,277000000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL2-2027-01-HERITAGE-07
HORIZON-CL3-2027-01-DRS-03,Horizon Europe,forthcoming,2027-05-05,2027-11-04,single-stage,129503000,HORIZON Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL3-2027-01-DRS-03
HORIZON-INFRA-2026-DEV-01-05,Horizon Europe,open,2026-03-10,2026-06-16,single-stage,294900000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-INFRA-2026-DEV-01-05
HORIZON-CL3-2027-01-INFRA-02,Horizon Europe,forthcoming,2027-05-05,2027-11-04,single-stage,129503000,HORIZON Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL3-2027-01-INFRA-02
HORIZON-INFRA-2026-DEV-01-06,Horizon Europe,open,2026-03-10,2026-06-16,single-stage,294900000,HORIZON Coordination and Support Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-INFRA-2026-DEV-01-06
HORIZON-INFRA-2026-DEV-01-01,Horizon Europe,open,2026-03-10,2026-06-16,single-stage,294900000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-INFRA-2026-DEV-01-01
HORIZON-INFRA-2026-01-EOSC-01,Horizon Europe,open,2026-03-10,2026-06-16,single-stage,294900000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-INFRA-2026-01-EOSC-01
HORIZON-CL3-2026-02-CS-ECCC-03,Horizon Europe,open,2026-03-03,2026-09-15,single-stage,56200000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL3-2026-02-CS-ECCC-03
HORIZON-CL3-2026-02-CS-ECCC-01,Horizon Europe,open,2026-03-03,2026-09-15,single-stage,56200000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL3-2026-02-CS-ECCC-01
HORIZON-CL3-2026-02-CS-ECCC-02,Horizon Europe,open,2026-03-03,2026-09-15,single-stage,56200000,HORIZON Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL3-2026-02-CS-ECCC-02
HORIZON-CL3-2027-01-FCT-04,Horizon Europe,forthcoming,2027-05-05,2027-11-04,single-stage,129503000,HORIZON Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL3-2027-01-FCT-04
HORIZON-CL3-2027-01-FCT-03,Horizon Europe,forthcoming,2027-05-05,2027-11-04,single-stage,129503000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL3-2027-01-FCT-03
HORIZON-CL3-2027-01-FCT-05,Horizon Europe,forthcoming,2027-05-05,2027-11-04,single-stage,129503000,HORIZON Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL3-2027-01-FCT-05
HORIZON-CL3-2027-01-BM-01,Horizon Europe,forthcoming,2027-05-05,2027-11-04,single-stage,129503000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL3-2027-01-BM-01
HORIZON-CL3-2027-01-BM-02,Horizon Europe,forthcoming,2027-05-05,2027-11-04,single-stage,129503000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL3-2027-01-BM-02
HORIZON-NEB-2027-01-PARTICIPATION-01,Horizon Europe,forthcoming,2027-05-05,2027-12-01,single-stage,93760000,HORIZON Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-NEB-2027-01-PARTICIPATION-01
HORIZON-INFRA-2026-01-EOSC-02,Horizon Europe,open,2026-03-10,2026-06-16,single-stage,294900000,HORIZON Coordination and Support Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-INFRA-2026-01-EOSC-02
HORIZON-CL3-2027-01-SSRI-02,Horizon Europe,forthcoming,2027-05-05,2027-11-04,single-stage,129503000,HORIZON Coordination and Support Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL3-2027-01-SSRI-02
ERASMUS-EDU-2022-ECHE-CERT-FP,Erasmus+,open,2022-02-23,2022-05-03,multiple cut-off,,ERASMUS ECHE Charter,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/ERASMUS-EDU-2022-ECHE-CERT-FP
HORIZON-INFRA-2026-DEV-01-03,Horizon Europe,open,2026-03-10,2026-06-16,single-stage,294900000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-INFRA-2026-DEV-01-03
HORIZON-INFRA-2026-TECH-01-02,Horizon Europe,open,2026-03-10,2026-06-16,single-stage,294900000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-INFRA-2026-TECH-01-02
HORIZON-CL3-2027-01-SSRI-01,Horizon Europe,forthcoming,2027-05-05,2027-11-04,single-stage,129503000,HORIZON Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL3-2027-01-SSRI-01
HORIZON-CL3-2027-01-INFRA-01,Horizon Europe,forthcoming,2027-05-05,2027-11-04,single-stage,129503000,HORIZON Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL3-2027-01-INFRA-01
HORIZON-NEB-2027-01-BUSINESS-02,Horizon Europe,forthcoming,2027-05-05,2027-12-01,single-stage,93760000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-NEB-2027-01-BUSINESS-02
HORIZON-NEB-2027-01-PARTICIPATION-03,Horizon Europe,forthcoming,2027-05-05,2027-12-01,single-stage,93760000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-NEB-2027-01-PARTICIPATION-03
HORIZON-INFRA-2026-TECH-01-01,Horizon Europe,open,2026-03-10,2026-06-16,single-stage,294900000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-INFRA-2026-TECH-01-01
HORIZON-INFRA-2026-SERV-01-01,Horizon Europe,open,2026-03-10,2026-06-16,single-stage,294900000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-INFRA-2026-SERV-01-01
HORIZON-CL3-2027-01-SSRI-03,Horizon Europe,forthcoming,2027-05-05,2027-11-04,single-stage,129503000,HORIZON Pre-commercial Procurement,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL3-2027-01-SSRI-03
HORIZON-INFRA-2026-DEV-01-02,Horizon Europe,open,2026-03-10,2026-06-16,single-stage,294900000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-INFRA-2026-DEV-01-02
